Product_ID,Product_Name,Product_Group,Primary_Category,Street_Address,Locality,Region,Mailing_Address,Postal_Code,Website,Facebook,Twitter,Latitude,Longitude,
900316687,Basecamp Resort Revelstoke,Accommodation,Accom - Hotel,405 British Columbia 23,Revelstoke,Kootenay Rockies,405 Highway 23,V0E2S0,https://www.basecampresorts.com/revelstoke,https://www.facebook.com/basecamp.properties/,https://twitter.com/basecampresorts,51.022,-118.2135,
900314133,Raven's Nest Resort and Campground,Accommodation,Accom - Campground/RV Parks,3900 British Columbia 93,Fairmont Hot Springs,Kootenay Rockies,3900 93/95 Hwy,V0B1L1,https://www.ravensnestresort.com/,,,50.36588,-115.8692,
4540120,Glacier View Cabins,Accommodation,Accom - Cabin/Cottage,426 8th Ave,New Denver,Kootenay Rockies,426 8th Ave,V0G1S0,http://glacierviewcabins.blogspot.ca/,https://mbasic.facebook.com/GlacierViewCabins?refsrc=http%3A%2F%2Fwww.google.ca%2Furl&refid=9&_rdr#_=_,,49.99376,-117.3725,
4539740,City Centre Motel - Hope,Accommodation,Accom - Motel,455 Wallace St,Hope,Vancouver Coast & Mountains,455 Wallace Street,V0X1L0,https://www.facebook.com/hopecitycentremotel/,https://www.facebook.com/pages/Hope-City-Centre-Motel/405658392859736,,49.38105,-121.4384,
4541036,Gateway Motel,Accommodation,Accom - Motel,Hwy 93,Radium Hot Springs,Kootenay Rockies,4992 Hwy 93 Box 257,V0A1M0,http://www.radiumgatewaymotel.com/,,,50.62506,-116.0676,
900283164,Vines and Puppies Hideaway,Accommodation,Accom -Cabin / Cottage,KM 594 Hwy 37,Jade City,Northern British Columbia,Km 594 on the Stewart Cassiar Hwy 37,V0C1E0,https://vinesandpuppies.ca/,https://www.facebook.com/vinesandpuppies/,,59.20447,-129.7408,
4540356,Whiskey Creek RV Campground,Accommodation,Accom - Campground/RV Parks,1268 Chatsworth Rd,Qualicum Beach,Vancouver Island,1268 Chatsworth Rd,V9K1V6,http://whiskeycreekrvcampingground.com/,https://www.facebook.com/Whiskey-Creek-RV-Campground-226819447356372/,,49.29075,-124.5226,
4542067,Secret Beach B&B Suites,Accommodation,Accom - B&B,995 Grandview Rd,Gibsons,Vancouver Coast & Mountains,995 Grandview Rd,V0N1V3,http://secretbeachbandb.com,,,49.38857,-123.5242,
4540672,A Touch of English B&B,Accommodation,Accom - B&B,5 Alameda Court,Kelowna,Thompson Okanagan,5 Alameda Crt,V1V1C6,http://www.touchofenglish.com/,,,49.9054,-119.4613,
4541581,Inland Lake Provincial Park,Accommodation,Accom - Parks - National,Inland Lake Forest Service Road,Powell River,Vancouver Coast & Mountains,Inland Lake Forest Service Road,V8A4Z4,http://www.env.gov.bc.ca/bcparks/explore/parkpgs/inland_lk/,http://www.facebook.com/pages/Sunshine-Coast-Parks/108492972522909,,49.87174,-124.5013,
4540453,William Hunter Cabins,Accommodation,A&A - Activities,303 Lake Ave,Silverton,Kootenay Rockies,303 Lake Avenue,V0G2B0,http://williamhuntercabins.com/,,,49.95178,-117.3569,
4539628,Lakeside Villa Motel,Accommodation,Accom - Hotel;Accom - Motel,4201 Skaha Lake Rd,Penticton,Thompson Okanagan,4201 Skaha Lake Road,V2A6J7,http://www.pentictonlakesidevilla.com/,http://www.facebook.com/lakesidevilla,,49.45131,-119.6084,
